4180621;E.P. GRACAY-GENOUILLY;
4180304;F.J. FOECY TT;
4180711;FOYER RURAL PARASSY T.T.;
4180694;GAZELEC BELLEVILLE;
4180057;GAZELEC BOURGES TT;
4180721;PING PONG CLUB ORVAL;
4180738;SAINT AMAND PING;
4180530;SLD.FUSSY;
4180313;ST. DOULCHARD TT.;
4180682;T.T. GERMINOIS;
4180737;TENNIS DE TABLE SUD CHER;
4180729;TENNIS DE TABLE VALLONNAIS;
4180041;TT AUBIGNY SUR NERE;
4180718;TT CHAROST;
4180728;TT PLAIMPIED GIVAUDINS;
4180716;TT SIPS DUN SUR AURON;
4180485;TT.BELLEVILLE-LERE;
4180696;VIERZON PING;
10190108;ASPO BRIVE;
10190111;ASPTT DE TULLE;
10190075;ENTENTE BASSES MONEDIERES;
10190145;F.J.E.P. Cornil;
10190120;FRJEP ST GERMAIN L VERGNES;
10190073;Haute Corrèze Tenn.de Tabl;
10190148;Lagarde Albussac Midi Correzien;
10190096;MEYMAC ATHLETIC CLUB;
10190134;Ping Sarroux St Julien;
10190043;RAQUETTE ARDOISIERE;
10190080;ST VIANCE TENNIS DE TABLE;
10190129;STE FORTUNADE Tenn. de Tab;
10190066;TENNIS DE TABLE BRIVISTE;
10190146;Tennis de Table Egletonnais;
10190147;TT NESPOULS;
10190133;Xaintrie TT;
2210081;ALC LONGVIC;
2210029;ASC SAINT APOLLINAIRE;
2210106;ASL DE CLENAY;
2210052;CHEVIGNY TENNIS DE TABLE;
2210007;CL MARSANNAY TENNIS DE TABLE;
2210088;CLUB PONGISTE BELLENEUVOIS;
2210059;CLUB PONGISTE GENLISSIEN;
2210126;CORPOS CD 21;
2210100;CSTT TALANT;
2210101;DIJON TENNIS DE TABLE;
2210048;ETOILE AUXONNAISE TT;
2210005;FILS DE FRANCE DE BEAUNE;
2210089;FR LAMARCHE SUR SAONE TT;
2210096;FR VELARS SUR OUCHE;
2210127;SEMUR MONTBARD TENNIS DE TABLE;
2210037;TT DU CHATILLONNAIS;
2210119;TT NOLAY PASSION;
2210123;TT POUILLY EN AUXOIS;
2210039;US CHEMINOTS DIJON;
3220047;7 ILES TT;
3220013;A.S. MINIHY-TREGUIER TT;
3220033;Argantel Club PLERIN;
3220005;ARMOR PING PLOUFRAGAN;
3220142;AS GOELO TT;
3220129;BEGARD TT;
3220001;C.P. PLEVINOIS;
3220143;Club Olympique Plouhatin;
3220087;ENTENTE DINAN TT;
3220011;ENTENTE TT PONTRIEUX;
3220048;ESPERANCE ST-QUAY PORTRIEUX;
3220022;G.M. ST-POTAN;
3220007;GOUDELIN/PLOUHA T.T.;
3220002;LA CHATELAUDRINAISE;
3220139;PENTHIEVRE LAMBALLE TT;
3220140;PLESTIN LES GREVES TT;
3220038;S.C. TREBEURDEN T.T.;
3220138;ST-BRIEUC TT ST-LAMBERT;
3220030;T.T. DU PAYS ROCHOIS;
3220050;T.T. FREHEL;
3220031;T.T. PLEMET;
3220124;Tennis de Table CORLAY;
3220123;TT Ambition-Loisirs-PLOUMAGOAR;
3220052;TT Corporatif BRIOCHIN;
3220132;TT DU DOURDU;
3220041;TT ERQUY/PLENEUF;
3220064;TT GRACES;
3220008;TT LA BAIE YFFINIAC;
3220127;TT LOUANNEC PLOUARET LANNION;
3220037;TT QUEVERT;
3220065;TTC GRAND LANVALLAY;
3220128;UP PLEDRANAISE;
3220078;US ARGOAT TT KERPERT;
3220113;US PLOUBALAY;
3220004;YVIGNAC LA TOUR T.T.;
10230105;AEL GUERET;
10230067;Entente Pongiste Pays Sostranien;
10230111;TT GRAND-BOURG;
10240020;AL COULOUNIEIX T T;
10240024;ASPTT DU BERGERACOIS;
10240003;ASPTT GRAND PERIGUEUX;
10240007;ASTT TERRASSON;
10240001;E F BERGERAC;
10240002;R LINDOISE;
10240026;R. PONCHAPTOISE EN PAYS FOYEN;
10240005;SARLIAC TENNIS DE TABLE;
10240015;ST MEDARD DE MUSSIDAN TT;
10240009;T DE T PERIGORD VERT;
10240030;TT AUBAS;
10240018;TT DU PERIGORD NOIR;
10240014;TT SARLADAIS;
10240006;TT TRELISSACOIS;
10240036;TTC RIBERACOIS;
2250059;A U O PONT DE ROIDE;
2250199;AEP ETOILE;
2250179;ALC TAILLECOURT;
2250216;ALE PELOUSEY;
2250151;AMICALE PONGISTE BOUCLANS;
2250204;AS AVOUDREY T T;
2250186;AS ST PAUL GOUX LES USIERS;
2250066;AS VALENTIGNEY TENNIS DE TABLE;
2250154;ASC DES AUXONS TT;
2250033;ASC LAVERNAY;
2250205;ASC MATHAY;
2250007;ASCAP SOCHAUX TT;
2250196;ASTT MORRE LA VEZE;
2250137;AVANNE AVENEY TT;
2250052;AVENIR DE MANDEURE;
2250224;AVENIR DE THISE;
2250162;BOURGUIGNON;
2250016;CA PONTARLIER;
2250031;CP ORNANAIS;
2250083;CTT VALDAHON;
2250192;ENT. VOUJEAUCOURT ETOUVANS;
2250229;ENTENTE MALCOMBE THISE MARCHAUX;
2250213;ETOILE SPORTIVE ST FERJEUX;
2250176;FOYER RURAL LES BANNO;
2250185;FRASNE;
2250015;JEANNE D ARC DE MAICHE;
2250221;LA BOUSBOTTE;
2250231;LA SAINT MICHEL MORTEAU;
2250110;MAMIROLLE TENNIS CLUB;
2250095;MJ EPENOY;
2250190;MJC VILLERS LE LAC;
2250132;PING CHEMAUDIN-ET-VAUX;
2250232;PING DU VAL DE VENNES;
2250021;PP CLUB L'ISLOIS;
2250193;PPC BAVANS;
2250002;PPC FESCHES LE CHATEL;
2250001;PROMO SPORTS BESANCON TT;
2250217;SEP CHALEZEULE;
2250049;SP L MONTFERRAND;
2250017;T DE T SELONCOURTOIS;
2250197;TENNIS DE TABLE CHAMPLIVE;
2250125;TENNIS DE TABLE DAMPRICHARD;
2250138;TT ARBOUANS;
2250211;TT CASTEL MONTROND LE CHATEAU;
2250181;TT ROCHE LEZ BEAUPRE;
2250208;US BAUME LES DAMES;
2250024;US TORPES BOUSSIERES;
2250070;USP SAINT VITOISE;
1260004;A.T.T. Drôme Provençale;
1260056;AIRE PING;
1260072;ARC SALAVAS;
1260010;ASPTT ROMANS;
1260034;ASSOC DU TT D'AUBENAS-VALS;
1260045;ENTENTE BLACONS-CREST TT;
1260024;ENTENTE RHODANIENNE T T;
1260061;FJEP-T.T CRUAS;
1260062;LE CHEYLARD TENNIS DE TABLE;
1260060;LE TEIL OASIS TENNIS DE TABLE;
1260035;LVS LA VOULTE - MJC LIVRON;
1260055;PING PONG CLUB DIEULEFITOIS;
1260026;SAINT PAUL TROIS CHATEAUX;
1260015;SC PRIVAS TT;
1260040;T.T. MONTELIER;
1260001;T.T.C. BUIS LES BARONNIES;
1260065;TENNIS DE TABLE POUZINOIS;
1260068;TT BASSIN D'ANNONAY;
1260071;TT GOUBETOIS;
1260005;TT MANTHES;
1260006;U.M.S.T.T. MONTELIMAR;
1260054;valence-bourg tennis de table;
9270030;A S BRETEUIL;
9270136;A.C.O.S.TILLIERES/AVRE;
9270127;A.S. INTERCOM. GUAINVILLE;
9270097;AJLSC CANTON DAMVILLE;
9270168;ALESC AUTHEUIL AUTHOUILLET;
9270175;ALIZAY /ROSAY TT;
9270045;AMIC SPORTIVE ROUTOTOISE;
9270089;AMICALE PONG PACY MENILLES;
9270095;AS BOSC ROGER EN ROUMOIS;
9270150;AS HAYE MALHERBE TT;
9270187;AS HONGUEMARE-LE LANDIN;
9270071;AS VAUDREUIL TENNIS TABLE;
9270047;ASSO OMNISP THUIT SIGNOL;
9270188;Assoc. des Loisirs de Guiseniers;
9270087;BEUZEVILLE ATHLETIC CLUB;
9270156;C.S. BEAUMONT ROMILLY TTT;
9270005;CAPA TT;
9270185;CDF FOURGES;
9270180;CLUB PONGISTE DU ROUMOIS;
9270060;CROTH - EZY-GARENNES TT;
9270015;CS ANDELYS;
9270159;CS BONNEVILLOIS;
9270166;CTT AVIRON;
9270177;DRUCOURT TENNIS DE TABLE;
9270069;ENTENTE GISORSIENNE T.T;
9270006;EVREUX ETUDIANTS CERCLE;
9270164;FJEP DOUVILLE SUR ANDELLE;
9270152;GAILLON AUBEVOYE TT;
9270126;GROSSOEUVRE SPORTS;
9270181;GUICHAINVILLE TT;
9270013;Jeanne D'ARC EVREUX;
9270102;LA STEPHANOISE TT;
9270183;LES PONGISTES MESNILOIS;
9270077;MONTREUIL L'ARGILLE TENNIS DE TA;
9270151;NEUBOURG QUITTEBEUF TT;
9270104;PING PONG CLUB HONDOUVILLE;
9270169;RAS ROMILLY AS;
9270138;ROUGEMONTIER SPORTS LOISIRS;
9270021;SAINT MARCEL TT SMTT;
9270161;SAINT MARDS PING-PONG;
9270176;SAINT PIERRE LA GARENNE;
9270028;SPORTING CLUB BERNAY TT;
9270110;ST PHILBERT ATHLETIC CLUB;
9270140;ST SEBASTIEN SSTT;
9270041;STADE PORTE NORMANDE VERNON;
9270008;STADE VERNOLIEN T T;
9270153;T.T. FRESNE CAUVERVILLE;
9270004;TT BRIONNE;
9270063;TT DE L ARCHE;
9270112;U S ETREPAGNY T T;
9270148;U.S FIDELAIRE TENNIS DE TABLE;
9270139;US GRAVIGNY TT;
9270162;VAL DE REUIL CSTT;
9270137;Vallée d'Avre Tennis de Table;
4280038;A S THYMERAIS CHATEAUNEUF;
4280048;A.S.J.NOGENT LE ROTROU;
4280722;AGGLO DREUX VERNOUILLET TT;
4280045;AMICALE EPERNON;
4280664;AS.NOGENT SUR EURE;
4280104;ASTT BAILLEAU LE PIN;
4280719;ASTT BREZOLLES;
4280681;BARJOUVILLE SCL.;
4280004;C'CHARTRES TENNIS DE TABLE;
4280251;CA.PAULSTRA CHAT.;
4280005;CH CHATEAUDUN;
4280632;CLUB DE BROUE;
4280529;E.S.MAINTENON-PIERRES T.T.;
4280716;ES NOGENT LE ROI-VILLEMEUX TT;
4280593;ES.JOUY ST-PREST TT.;
4280517;FRANCOURVILLE LD.;
4280718;FRESNAY L'EVEQUE TENNIS DE TABLE;
4280404;GAIS MOIS. VOVES;
4280484;GAULOISE GAULT ST.DENIS;
4280705;GUE DE LONGROI TENNIS DE TABLE;
4280121;LUISANT AC Tennis de Table;
4280610;P.C. COLTAINVILLE TT.;
4280322;PAYS COURVILLOIS TT;
4280617;PONGISTES DE COMBRAY;
4280359;STADE LOUPEEN;
4280612;TT.CLOYSIEN;
4280049;TTPS SENONCHES;
4280202;US YEVRES;
3290232;AL CONCARNEAU;
3290018;AL GUILERS;
3290214;AL KERNEVEL;
3290224;AL MOELAN SUR MER;
3290268;AL NEVEZ;
3290200;AL PLONEOUR-LANVERN;
3290283;AL PLOUZANE;
3290282;AL PLUGUFFAN;
3290015;AS LOCQUENOLESIENNE TT;
3290037;ASC GUICLAN TT;
3290001;ASPTT BREST;
3290280;Asso TT SANTEC-ROSCOFF;
3290227;BANNALEC TT;
3290284;BODILIS PLOUGAR TT;
3290029;CTT PLOUIGNEAU;
3290014;CTT TAULESIEN;
3290255;DOUARNENEZ TT;
3290281;EDERN TENNIS DE TABLE;
3290212;EP DU CAP-SIZUN;
3290010;ESK ST-POL DE LEON;
3290011;GARS DE PLOUENAN TT;
3290087;GDR GUIPAVAS;
3290024;GSY BOURG-BLANC;
3290235;ILE TUDY COMBRIT TT;
3290286;KPP PLOUNEVEZ-LOCHRIST;
3290005;LANDERNEAU TT;
3290274;LE TREVOUX ADLTT;
3290090;LEGION ST-PIERRE BREST;
3290273;LES PONGISTES BIGOUDENS;
3290207;LES PONGISTES DU POHER;
3290003;MORLAIX ST-MARTIN TT;
3290027;PC PLABENNEC;
3290288;PL SANQUER BREST;
3290221;PLOMEUR TT;
3290277;PLOUDALMEZEAU TENNIS DE TABLE;
3290275;PLOUESCAT TT CLUB;
3290290;PONVEL TENNIS DE TABLE;
3290031;PPC CLEDEROIS;
3290081;PPC KERHUONNAIS;
3290237;PPC PLOZEVET;
3290276;PRESQU'ILE de CROZON TT;
3290223;QUIMPER CORNOUAILLE TT;
3290249;RAQ ESQUIBIENNOISE;
3290263;RAQ PLONEVEZIENNE;
3290262;RAQUETTE DU PORZAY;
3290217;RAQUETTE PLOM-TREM-PLUG;
3290244;RC BRIEC DE L ODET;
3290229;RP FOUESNANT;
3290052;SAINT-DIVY SPORT TT;
3290009;SAINT-RENAN TT;
3290202;SCAER/CORAY TT;
3290047;TENNIS DE TABLE DE LOPERHET;
3290208;TOURC'H-ELLIANT TT;
3290026;TT DE SAINTE-SEVE;
3290278;TT DES ABERS;
3290006;TT GOUESNOU;
3290045;TT GUERLESQUINAIS;
3290264;TT JA CHATEAULIN;
3290215;TT KEMPERLE;
3290044;TT LANDIVISIAU;
3290036;TT LE FOLGOET-LESNEVEN;
3290023;TT LOC MARIA-PLOUZANE;
3290266;TT LOCTUDY;
3290205;TT PONT DE BUIS;
3290222;TTAL HUELGOAT-PLOUYE;
3290285;TTC BREST RECOUVRANCE;
3290228;TTC PENMARC'H;
3290039;TTC PLOUGOULM;
3290019;TTE LAMPAUL-LOCMELAR;
3290203;UJAP QUIMPER TT;
3290226;UJR LANGOLEN;
11300040;ALES CEVENNES TENNIS DE TABLE;
11300022;BAD PING LE GRAU DU ROI;
11300012;BAGNOLS MARCOULE SABRAN TT;
11300021;BELLEGARDE COB;
11300015;BESSEGES/GAGNIERES CPM;
11300039;CAMARGUE TT;
11300008;CONGENIES PPC;
11300025;CTT CALVISSON;
11300047;CTT SOMMIERES;
11300006;GARONS TENNIS DE TABLE;
11300032;GENERAC T.T.;
11300017;LEDIGNAN ALASC;
11300041;MANDUEL ASTT;
11300018;MIALET TT;
11300007;NIMES ASPC;
11300016;NIMES ASPTT;
11300005;NIMES ST CESAIRE AM;
11300019;QUISSAC T.T.;
11300023;SALINDRES AS;
11300014;ST CHRISTOL LEZ ALES AS;
11300050;TENNIS CLUB CRUVIERS-LASCOURS;
11300055;TENNIS DE TABLE ARAMON;
11300003;Tennis de Table en Pays Viganais;
11300010;UCHAUD ASTT;
11300028;VAUVERT OPP;
11300004;VILLENEUVE LES AVIGNON AS;
11310070;A.S.C. MONTAUDRAN;
11310006;ASPTT TOULOUSE T.T.;
11310019;C.L.L.L.COLOMIERS;
11310115;CASTELGINEST TT;
11310099;COTEAUX BELLEVUE TT;
11310045;FOYER RURAL AUSSONNE;
11310121;JS CUGNAUX/VILLENEUVE TT;
11310033;L AVENIR MURETAIN T T;
11310075;PINS-JUSTARET VILLATE TT;
11310076;POINTIS RIVIERE STT;
11310129;QUINT FONSEGRIVES TENNIS DE TABL;
11310123;RIEUMES MAUZAC SLTT;
11310005;SAINT LYS OLYMPIQUE;
11310064;SAINT ORENS TT;
11310131;TENNIS DE TABLE PIBRACAIS;
11310008;TOULOUSE AC TENNIS DE TABLE;
